log_id,time,level,ms_id,message
31,2018-06-03 08:06:03.747,WARNING,74d3d303-ac9d-4203-ba09-de78acca3892," nova.scheduler.client.report  No authenticationrmation found for placement API. Placement is optional in Newton, but required in Ocata. Please enable the placement service before upgrading. "
32,2018-06-03 08:06:03.777,INFO,8fa4490e-c4b3-49a8-8050-28ec528d864b, nova.compute.manager   Took 59.20 seconds to build instance. 
33,2018-06-03 08:05:06.298,INFO,55ed5eef-2a3a-4b5b-81bc-cfb71c1a6bd0," neutron.wsgi  192.168.111.2 - -  ""PUT /v2.0/ports/.json HTTP/1.1"" 200 1293 0.559809 "
34,2018-06-23 12:54:03.962,INFO,221e8623-4823-417c-9336-2955581a4ae9," nova.osapi_compute.wsgi.server  192.168.111.8 ""POST /v2.1/servers HTTP/1.1"" status: 202 len: 796 time: 0.8536139 "
35,2018-06-23 12:54:04.074,INFO,b2d844ab-9e1d-4ff9-8339-08910753344f," nova.osapi_compute.wsgi.server  240.0.0.2 ""GET /v2.1/servers/ HTTP/1.1"" status: 200 len: 1892 time: 0.1020970 "
36,2018-06-23 12:54:04.233,WARNING,221e8623-4823-417c-9336-2955581a4ae9, stevedore.named  Could not load build_instance 
37,2018-06-23 12:54:04.426,INFO,221e8623-4823-417c-9336-2955581a4ae9," nova.compute.claims   Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU "
38,2018-06-23 12:54:04.427,INFO,221e8623-4823-417c-9336-2955581a4ae9," nova.compute.claims   Total memory: 128524 MB, used: 75264.00 MB "
39,2018-06-23 12:54:04.428,INFO,221e8623-4823-417c-9336-2955581a4ae9," nova.compute.claims   memory limit: 192786.00 MB, free: 117522.00 MB "
40,2018-06-23 12:54:04.428,INFO,221e8623-4823-417c-9336-2955581a4ae9," nova.compute.claims   Total disk: 2232 GB, used: 920.00 GB "
41,2018-06-23 12:54:04.429,INFO,221e8623-4823-417c-9336-2955581a4ae9," nova.compute.claims   disk limit: 2232.00 GB, free: 1312.00 GB "
42,2018-06-23 12:54:04.430,INFO,221e8623-4823-417c-9336-2955581a4ae9," nova.compute.claims   Total vcpu: 40 VCPU, used: 53.00 VCPU "
43,2018-06-23 12:54:04.431,INFO,221e8623-4823-417c-9336-2955581a4ae9," nova.compute.claims   vcpu limit: 640.00 VCPU, free: 587.00 VCPU "
44,2018-06-23 12:54:04.433,INFO,221e8623-4823-417c-9336-2955581a4ae9, nova.compute.claims   Claim successful 
45,2018-06-23 12:54:04.647,WARNING,221e8623-4823-417c-9336-2955581a4ae9, nova.scheduler.client.report  Unable to refresh my resource provider record 
46,2018-06-23 12:54:04.810,WARNING,221e8623-4823-417c-9336-2955581a4ae9," nova.scheduler.client.report  No authenticationrmation found for placement API. Placement is optional in Newton, but required in Ocata. Please enable the placement service before upgrading. "
47,2018-06-23 12:54:04.811,WARNING,221e8623-4823-417c-9336-2955581a4ae9, nova.scheduler.client.report  Unable to refresh my resource provider record 
48,2018-06-23 12:54:05.093,INFO,221e8623-4823-417c-9336-2955581a4ae9, nova.virt.libvirt.driver   Creating image 
49,2018-06-23 12:54:06.575,WARNING,221e8623-4823-417c-9336-2955581a4ae9, stevedore.named  Could not load instance_network_info 
50,2018-06-23 12:55:32.659,INFO,221e8623-4823-417c-9336-2955581a4ae9," os_vif  Successfully plugged vif VIFBridge(active=False,address=fa:16:3e:44:d3:fc,bridge_name='qbr72155e5c-1b',has_traffic_filtering=True,id=,network=Network(),plugin='ovs',port_profile=VIFPortProfileBase,preserve_on_delete=False,vif_name='tap72155e5c-1b') "
51,2018-06-23 12:55:33.163,INFO,221e8623-4823-417c-9336-2955581a4ae9, nova.virt.libvirt.driver   Using config drive 
52,2018-06-23 12:55:33.341,INFO,221e8623-4823-417c-9336-2955581a4ae9, nova.virt.libvirt.driver   Creating config drive at /var/lib/nova/instances//disk.config 
53,2018-06-23 12:55:35.447,INFO,fcf6db65-5a0d-40ff-b248-0c5e21d65546, nova.api.openstack.compute.server_external_events  Creating event network-vif-plugged: for instance  
54,2018-06-23 12:55:35.461,INFO,fcf6db65-5a0d-40ff-b248-0c5e21d65546," nova.osapi_compute.wsgi.server  192.168.111.8 ""POST /v2.1/os-server-external-events HTTP/1.1"" status: 200 len: 511 time: 0.1375360 "
55,2018-06-23 12:55:35.660,INFO,380cc2eb-f3a2-4406-aa55-c2a17ca5e287, nova.compute.manager   VM Started (Lifecycle Event) 
56,2018-06-23 12:55:35.668,INFO,221e8623-4823-417c-9336-2955581a4ae9, nova.compute.manager   Took 90.58 seconds to spawn the instance on the hypervisor. 
57,2018-06-23 12:55:35.781,INFO,380cc2eb-f3a2-4406-aa55-c2a17ca5e287, nova.compute.manager   During sync_power_state the instance has a pending task (spawning). Skip. 
58,2018-06-23 12:55:35.781,INFO,380cc2eb-f3a2-4406-aa55-c2a17ca5e287, nova.compute.manager   VM Paused (Lifecycle Event) 
59,2018-06-23 12:55:35.839,INFO,221e8623-4823-417c-9336-2955581a4ae9, nova.compute.manager   Took 91.44 seconds to build instance. 
60,2018-05-31 10:35:28.260,INFO,64068b25-3075-4468-a96f-7a91040ed96d," nova.osapi_compute.wsgi.server  240.0.0.2 ""POST /v2.1/servers HTTP/1.1"" status: 202 len: 796 time: 0.8109860 "
61,2018-05-31 10:35:28.392,INFO,574ac99c-95d0-4945-be9a-3291916689dc," nova.osapi_compute.wsgi.server  192.168.111.8 ""GET /v2.1/servers/ HTTP/1.1"" status: 200 len: 1892 time: 0.1249640 "
62,2018-05-31 10:35:28.534,WARNING,64068b25-3075-4468-a96f-7a91040ed96d, stevedore.named  Could not load build_instance 
63,2018-05-31 10:35:28.708,INFO,64068b25-3075-4468-a96f-7a91040ed96d," nova.compute.claims   Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU "
64,2018-05-31 10:35:28.709,INFO,64068b25-3075-4468-a96f-7a91040ed96d," nova.compute.claims   Total memory: 128524 MB, used: 62976.00 MB "
65,2018-05-31 10:35:28.709,INFO,64068b25-3075-4468-a96f-7a91040ed96d," nova.compute.claims   memory limit: 192786.00 MB, free: 129810.00 MB "
66,2018-05-31 10:35:28.710,INFO,64068b25-3075-4468-a96f-7a91040ed96d," nova.compute.claims   Total disk: 2232 GB, used: 690.00 GB "
67,2018-05-31 10:35:28.711,INFO,64068b25-3075-4468-a96f-7a91040ed96d," nova.compute.claims   disk limit: 2232.00 GB, free: 1542.00 GB "
68,2018-05-31 10:35:28.711,INFO,64068b25-3075-4468-a96f-7a91040ed96d," nova.compute.claims   Total vcpu: 40 VCPU, used: 38.00 VCPU "
69,2018-05-31 10:35:28.712,INFO,64068b25-3075-4468-a96f-7a91040ed96d," nova.compute.claims   vcpu limit: 640.00 VCPU, free: 602.00 VCPU "
70,2018-05-31 10:35:28.715,INFO,64068b25-3075-4468-a96f-7a91040ed96d, nova.compute.claims   Claim successful 
71,2018-05-31 10:35:28.899,WARNING,64068b25-3075-4468-a96f-7a91040ed96d," nova.scheduler.client.report  No authenticationrmation found for placement API. Placement is optional in Newton, but required in Ocata. Please enable the placement service before upgrading. "
72,2018-05-31 10:35:28.900,WARNING,64068b25-3075-4468-a96f-7a91040ed96d, nova.scheduler.client.report  Unable to refresh my resource provider record 
73,2018-05-31 10:35:29.068,WARNING,64068b25-3075-4468-a96f-7a91040ed96d, nova.scheduler.client.report  Unable to refresh my resource provider record 
