time,deploy_id,service,component,event_id,level,ip,log_txt
2018-10-23 09:44:02.958,59442,cf-pdman,cf-pdman,21,INFO,192.169.7.98,"2018-10-23 09:44:02.958 INFO  sqlalchemy.orm.mapper.Mapper (Server|servers) Identified primary key columns: ColumnSet([Column('id', Integer(), table=<servers>, primary_key=True, nullable=False)]) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.958,59442,cf-pdman,cf-pdman,22,INFO,192.169.7.98,"2018-10-23 09:44:02.958 INFO  sqlalchemy.orm.mapper.Mapper (Server|servers) constructed req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.963,59442,cf-pdman,cf-pdman,23,INFO,192.169.7.98,"2018-10-23 09:44:02.963 INFO  sqlalchemy.orm.mapper.Mapper (Com_Server|com_servers) _configure_property(created_at, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.963,59442,cf-pdman,cf-pdman,24,INFO,192.169.7.98,"2018-10-23 09:44:02.963 INFO  sqlalchemy.orm.mapper.Mapper (Com_Server|com_servers) _configure_property(updated_at, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.964,59442,cf-pdman,cf-pdman,25,INFO,192.169.7.98,"2018-10-23 09:44:02.964 INFO  sqlalchemy.orm.mapper.Mapper (Com_Server|com_servers) _configure_property(id, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.964,59442,cf-pdman,cf-pdman,25,INFO,192.169.7.98,"2018-10-23 09:44:02.964 INFO  sqlalchemy.orm.mapper.Mapper (Com_Server|com_servers) _configure_property(uuid, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.964,59442,cf-pdman,cf-pdman,25,INFO,192.169.7.98,"2018-10-23 09:44:02.964 INFO  sqlalchemy.orm.mapper.Mapper (Com_Server|com_servers) _configure_property(name, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.965,59442,cf-pdman,cf-pdman,25,INFO,192.169.7.98,"2018-10-23 09:44:02.965 INFO  sqlalchemy.orm.mapper.Mapper (Com_Server|com_servers) _configure_property(apptype, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.965,59442,cf-pdman,cf-pdman,25,INFO,192.169.7.98,"2018-10-23 09:44:02.965 INFO  sqlalchemy.orm.mapper.Mapper (Com_Server|com_servers) _configure_property(vertype, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.966,59442,cf-pdman,cf-pdman,25,INFO,192.169.7.98,"2018-10-23 09:44:02.966 INFO  sqlalchemy.orm.mapper.Mapper (Com_Server|com_servers) _configure_property(version, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.966,59442,cf-pdman,cf-pdman,26,INFO,192.169.7.98,"2018-10-23 09:44:02.966 INFO  sqlalchemy.orm.mapper.Mapper (Com_Server|com_servers) _configure_property(is_in_controller, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.967,59442,cf-pdman,cf-pdman,27,INFO,192.169.7.98,"2018-10-23 09:44:02.967 INFO  sqlalchemy.orm.mapper.Mapper (Com_Server|com_servers) _configure_property(is_alone, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.967,59442,cf-pdman,cf-pdman,28,INFO,192.169.7.98,"2018-10-23 09:44:02.967 INFO  sqlalchemy.orm.mapper.Mapper (Com_Server|com_servers) _configure_property(res_para, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.967,59442,cf-pdman,cf-pdman,25,INFO,192.169.7.98,"2018-10-23 09:44:02.967 INFO  sqlalchemy.orm.mapper.Mapper (Com_Server|com_servers) _configure_property(state, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.968,59442,cf-pdman,cf-pdman,29,INFO,192.169.7.98,"2018-10-23 09:44:02.968 INFO  sqlalchemy.orm.mapper.Mapper (Com_Server|com_servers) _configure_property(try_times, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.968,59442,cf-pdman,cf-pdman,25,INFO,192.169.7.98,"2018-10-23 09:44:02.968 INFO  sqlalchemy.orm.mapper.Mapper (Com_Server|com_servers) _configure_property(taskuuid, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.969,59442,cf-pdman,cf-pdman,25,INFO,192.169.7.98,"2018-10-23 09:44:02.969 INFO  sqlalchemy.orm.mapper.Mapper (Com_Server|com_servers) _configure_property(nodeuuid, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.969,59442,cf-pdman,cf-pdman,25,INFO,192.169.7.98,"2018-10-23 09:44:02.969 INFO  sqlalchemy.orm.mapper.Mapper (Com_Server|com_servers) _configure_property(info, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.970,59442,cf-pdman,cf-pdman,30,INFO,192.169.7.98,"2018-10-23 09:44:02.970 INFO  sqlalchemy.orm.mapper.Mapper (Com_Server|com_servers) _configure_property(deploy_info, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.970,59442,cf-pdman,cf-pdman,31,INFO,192.169.7.98,"2018-10-23 09:44:02.970 INFO  sqlalchemy.orm.mapper.Mapper (Com_Server|com_servers) _configure_property(msb_info, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.971,59442,cf-pdman,cf-pdman,25,INFO,192.169.7.98,"2018-10-23 09:44:02.971 INFO  sqlalchemy.orm.mapper.Mapper (Com_Server|com_servers) _configure_property(timestamp, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.971,59442,cf-pdman,cf-pdman,25,INFO,192.169.7.98,"2018-10-23 09:44:02.971 INFO  sqlalchemy.orm.mapper.Mapper (Com_Server|com_servers) _configure_property(lock, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.972,59442,cf-pdman,cf-pdman,31,INFO,192.169.7.98,"2018-10-23 09:44:02.972 INFO  sqlalchemy.orm.mapper.Mapper (Com_Server|com_servers) _configure_property(msb_info_v2, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.972,59442,cf-pdman,cf-pdman,25,INFO,192.169.7.98,"2018-10-23 09:44:02.972 INFO  sqlalchemy.orm.mapper.Mapper (Com_Server|com_servers) _configure_property(tenant_id, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.972,59442,cf-pdman,cf-pdman,25,INFO,192.169.7.98,"2018-10-23 09:44:02.972 INFO  sqlalchemy.orm.mapper.Mapper (Com_Server|com_servers) _configure_property(replicas, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.973,59442,cf-pdman,cf-pdman,32,INFO,192.169.7.98,"2018-10-23 09:44:02.973 INFO  sqlalchemy.orm.mapper.Mapper (Com_Server|com_servers) _configure_property(ha_framework, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.973,59442,cf-pdman,cf-pdman,33,INFO,192.169.7.98,"2018-10-23 09:44:02.973 INFO  sqlalchemy.orm.mapper.Mapper (Com_Server|com_servers) _configure_property(all_in_one, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.974,59442,cf-pdman,cf-pdman,34,INFO,192.169.7.98,"2018-10-23 09:44:02.974 INFO  sqlalchemy.orm.mapper.Mapper (Com_Server|com_servers) _configure_property(ha_mode, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.974,59442,cf-pdman,cf-pdman,35,INFO,192.169.7.98,"2018-10-23 09:44:02.974 INFO  sqlalchemy.orm.mapper.Mapper (Com_Server|com_servers) _configure_property(vip_ip, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.975,59442,cf-pdman,cf-pdman,25,INFO,192.169.7.98,"2018-10-23 09:44:02.975 INFO  sqlalchemy.orm.mapper.Mapper (Com_Server|com_servers) _configure_property(storage, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.975,59442,cf-pdman,cf-pdman,35,INFO,192.169.7.98,"2018-10-23 09:44:02.975 INFO  sqlalchemy.orm.mapper.Mapper (Com_Server|com_servers) _configure_property(vip_ip_v6, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.976,59442,cf-pdman,cf-pdman,36,INFO,192.169.7.98,"2018-10-23 09:44:02.976 INFO  sqlalchemy.orm.mapper.Mapper (Com_Server|com_servers) Identified primary key columns: ColumnSet([Column('id', Integer(), table=<com_servers>, primary_key=True, nullable=False)]) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.976,59442,cf-pdman,cf-pdman,37,INFO,192.169.7.98,"2018-10-23 09:44:02.976 INFO  sqlalchemy.orm.mapper.Mapper (Com_Server|com_servers) constructed req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.980,59442,cf-pdman,cf-pdman,38,INFO,192.169.7.98,"2018-10-23 09:44:02.980 INFO  sqlalchemy.orm.mapper.Mapper (Node|nodes) _configure_property(servers, RelationshipProperty) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.980,59442,cf-pdman,cf-pdman,5,INFO,192.169.7.98,"2018-10-23 09:44:02.980 INFO  sqlalchemy.orm.mapper.Mapper (Node|nodes) _configure_property(created_at, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.980,59442,cf-pdman,cf-pdman,6,INFO,192.169.7.98,"2018-10-23 09:44:02.980 INFO  sqlalchemy.orm.mapper.Mapper (Node|nodes) _configure_property(updated_at, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.981,59442,cf-pdman,cf-pdman,7,INFO,192.169.7.98,"2018-10-23 09:44:02.981 INFO  sqlalchemy.orm.mapper.Mapper (Node|nodes) _configure_property(id, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.981,59442,cf-pdman,cf-pdman,7,INFO,192.169.7.98,"2018-10-23 09:44:02.981 INFO  sqlalchemy.orm.mapper.Mapper (Node|nodes) _configure_property(uuid, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.982,59442,cf-pdman,cf-pdman,39,INFO,192.169.7.98,"2018-10-23 09:44:02.982 INFO  sqlalchemy.orm.mapper.Mapper (Node|nodes) _configure_property(server_id, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.982,59442,cf-pdman,cf-pdman,11,INFO,192.169.7.98,"2018-10-23 09:44:02.982 INFO  sqlalchemy.orm.mapper.Mapper (Node|nodes) _configure_property(state, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.982,59442,cf-pdman,cf-pdman,12,INFO,192.169.7.98,"2018-10-23 09:44:02.982 INFO  sqlalchemy.orm.mapper.Mapper (Node|nodes) _configure_property(deploy_state, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.983,59442,cf-pdman,cf-pdman,15,INFO,192.169.7.98,"2018-10-23 09:44:02.983 INFO  sqlalchemy.orm.mapper.Mapper (Node|nodes) _configure_property(deploy_info, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.983,59442,cf-pdman,cf-pdman,16,INFO,192.169.7.98,"2018-10-23 09:44:02.983 INFO  sqlalchemy.orm.mapper.Mapper (Node|nodes) _configure_property(timestamp, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.984,59442,cf-pdman,cf-pdman,17,INFO,192.169.7.98,"2018-10-23 09:44:02.984 INFO  sqlalchemy.orm.mapper.Mapper (Node|nodes) _configure_property(lock, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.984,59442,cf-pdman,cf-pdman,40,INFO,192.169.7.98,"2018-10-23 09:44:02.984 INFO  sqlalchemy.orm.mapper.Mapper (Node|nodes) _configure_property(nodeuuid, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.985,59442,cf-pdman,cf-pdman,41,INFO,192.169.7.98,"2018-10-23 09:44:02.985 INFO  sqlalchemy.orm.mapper.Mapper (Node|nodes) Identified primary key columns: ColumnSet([Column('id', Integer(), table=<nodes>, primary_key=True, nullable=False)]) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.985,59442,cf-pdman,cf-pdman,22,INFO,192.169.7.98,"2018-10-23 09:44:02.985 INFO  sqlalchemy.orm.mapper.Mapper (Node|nodes) constructed req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.987,59442,cf-pdman,cf-pdman,5,INFO,192.169.7.98,"2018-10-23 09:44:02.987 INFO  sqlalchemy.orm.mapper.Mapper (CtrlSwitch|ctrl_switch) _configure_property(created_at, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.988,59442,cf-pdman,cf-pdman,6,INFO,192.169.7.98,"2018-10-23 09:44:02.988 INFO  sqlalchemy.orm.mapper.Mapper (CtrlSwitch|ctrl_switch) _configure_property(updated_at, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.988,59442,cf-pdman,cf-pdman,42,INFO,192.169.7.98,"2018-10-23 09:44:02.988 INFO  sqlalchemy.orm.mapper.Mapper (CtrlSwitch|ctrl_switch) _configure_property(id, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.989,59442,cf-pdman,cf-pdman,42,INFO,192.169.7.98,"2018-10-23 09:44:02.989 INFO  sqlalchemy.orm.mapper.Mapper (CtrlSwitch|ctrl_switch) _configure_property(uuid, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
